name,symbol,price_usd,market_cap_usd,volume_24h_usd
Bitcoin,BTC,20193.08,386367214848,37844037961
Ethereum,ETH,1498.95,183070118410,23122015977
Tether,USDT,1.0,67552134564,55282835398
USD Coin,USDC,1.0,52212969741,8541606069
BNB,BNB,283.24,45635342530,1098036803
Binance USD,BUSD,1.0,19300455361,8078420905
XRP,XRP,0.3364,16650897319,1304587229
Cardano,ADA,0.449,15115398070,1061769648
Solana,SOL,31.84,11124305200,1115205678
Dogecoin,DOGE,0.06381,8465093663,547656429
Polkadot,DOT,7.02,7800451018,394172473
Dai,DAI,0.9999,6943148176,512645330
Polygon,MATIC,0.8055,6832718577,613995801
Shiba Inu,SHIB,1.226e-05,6734252753,620914211
Avalanche,AVAX,20.56,5860064392,497003984
TRON,TRX,0.06258,5781300321,535020995
Wrapped Bitcoin,WBTC,20175.04,4998579660,250616863
UNUS SED LEO,LEO,5.12,4888926286,3533483
Uniswap,UNI,6.11,4558710783,172608370
Ethereum Classic,ETC,33.21,4535690638,1367378015
Litecoin,LTC,52.86,3755079775,491181396
FTX Token,FTT,25.96,3487399260,289312808
Chainlink,LINK,6.56,3226321314,401756972
Cosmos,ATOM,11.13,3188217875,543038074
Cronos,CRO,0.1211,3060001228,20011070
NEAR Protocol,NEAR,3.93,3027304620,365077560
Stellar,XLM,0.1052,2658513859,142553509
Monero,XMR,145.19,2628350155,112097455
Bitcoin Cash,BCH,116.43,2229207347,308513199
Algorand,ALGO,0.2873,1978974590,93150379
Flow,FLOW,1.9,1960089575,56374323
VeChain,VET,0.02463,1783055106,86990553
Filecoin,FIL,5.78,1562428843,289822846
Internet Computer,ICP,6.09,1558096192,107527494
EOS,EOS,1.5,1497868115,537756186
ApeCoin,APE,4.79,1471125413,243241609
Decentraland,MANA,0.7754,1436338387,187536234
The Sandbox,SAND,0.9644,1420834122,292317026
Tezos,XTZ,1.47,1332387641,49692950
Hedera,HBAR,0.0632,1331435486,31051666
Chiliz,CHZ,0.219,1314010990,688076870
Elrond,EGLD,53.0,1219243895,64955881
Quant,QNT,99.34,1200919532,32382534
Aave,AAVE,82.67,1154770441,217984746
Theta Network,THETA,1.14,1133430491,50131509
Axie Infinity,AXS,13.61,1128867767,106277986
TrueUSD,TUSD,1.0,1096633315,321708882
Bitcoin SV,BSV,52.32,1002113459,105419458
OKB,OKB,16.09,965455763,13587999
Pax Dollar,USDP,0.9994,945102096,6218570
Zcash,ZEC,61.43,929692743,87244702
KuCoin Token,KCS,9.2,905138525,3043501
BitTorrent-New,BTT,8.696e-07,815975189,25612772
Huobi Token,HT,5.15,790473455,38044443
IOTA,MIOTA,0.2811,779543984,15645747
Maker,MKR,774.88,757557930,180408318
Helium,HNT,6.04,753183275,11462190
USDD,USDD,1.0,739850266,21939928
Klaytn,KLAY,0.2386,718865220,34349194
The Graph,GRT,0.1036,714948076,127250150
eCash,XEC,3.713e-05,711190516,7394872
Fantom,FTM,0.2764,703478205,220705615
Neutrino USD,USDN,0.9808,672376376,5979023
Synthetix,SNX,2.77,648869505,131336295
THORChain,RUNE,1.96,646762532,102621600
Neo,NEO,9.16,645879596,66282476
PAX Gold,PAXG,1727.78,587600813,16675538
Curve DAO Token,CRV,1.06,557222469,128383780
PancakeSwap,CAKE,3.8,547997890,44532083
Nexo,NEXO,0.9327,522294824,29765518
Lido DAO,LDO,1.65,516272640,135790652
Basic Attention Token,BAT,0.3395,508756494,58672082
Waves,WAVES,4.55,497050489,144540331
Dash,DASH,45.04,490294789,100691260
Stacks,STX,0.3653,486203708,14189829
Zilliqa,ZIL,0.03669,485044395,157030468
Loopring,LRC,0.3581,476364670,67030523
Enjin Coin,ENJ,0.5128,459704952,57979624
Mina,MINA,0.6569,427415594,18822385
Fei USD,FEI,0.9885,420100939,1989134
Kava,KAVA,1.66,416818052,19708728
STEPN,GMT,0.6906,414361884,191405106
Bitcoin Gold,BTG,23.34,408711835,11341143
Trust Wallet Token,TWT,0.9782,407550439,18143084
Decred,DCR,28.49,407392535,3871618
NEM,XEM,0.04481,403321057,14725590
Gnosis,GNO,152.14,392468642,6698432
Kusama,KSM,45.56,385909839,61816932
1inch Network,1INCH,0.6585,382597268,31059409
Arweave,AR,11.24,375243677,22010121
Celo,CELO,0.8205,374646698,15388683
Holo,HOT,0.002073,359385148,18623466
Gala,GALA,0.05064,353357821,229195135
Ankr,ANKR,0.03628,350554279,49565139
Convex Finance,CVX,5.19,348160264,12333707
XDC Network,XDC,0.02771,340975875,4281181
GateToken,GT,4.34,340708687,3591653
Compound,COMP,46.68,336983847,100781636
Theta Fuel,TFUEL,0.06167,326904838,62538225
yearn.finance,YFI,8893.49,325837052,61988204
